Start_Layer,End_Layer,latency_ms
1_conv1_pad,103_conv4_block3_1_conv,166118.55
1_conv1_pad,104_conv4_block3_1_bn,166305
1_conv1_pad,105_conv4_block3_1_relu,166408.84
1_conv1_pad,106_conv4_block3_2_conv,168297.61
1_conv1_pad,107_conv4_block3_2_bn,168484.47
1_conv1_pad,108_conv4_block3_2_relu,170756.33
1_conv1_pad,109_conv4_block3_3_conv,170963.35
1_conv1_pad,110_conv4_block3_3_bn,171710.37
1_conv1_pad,111_conv4_block3_add,172123.21
1_conv1_pad,112_conv4_block3_out,172537.85
1_conv1_pad,113_conv4_block4_1_conv,178871.48
1_conv1_pad,114_conv4_block4_1_bn,179057.95
1_conv1_pad,115_conv4_block4_1_relu,179161.73
1_conv1_pad,116_conv4_block4_2_conv,185496.76
1_conv1_pad,117_conv4_block4_2_bn,188257.03
1_conv1_pad,118_conv4_block4_2_relu,191017.3
1_conv1_pad,119_conv4_block4_3_conv,192906.07
1_conv1_pad,120_conv4_block4_3_bn,193653.45
1_conv1_pad,121_conv4_block4_add,194066.29
1_conv1_pad,122_conv4_block4_out,194170.12
1_conv1_pad,123_conv4_block5_1_conv,196583.14
1_conv1_pad,124_conv4_block5_1_bn,199343.43
1_conv1_pad,125_conv4_block5_1_relu,199447.47
1_conv1_pad,126_conv4_block5_2_conv,205781.65
1_conv1_pad,127_conv4_block5_2_bn,207274.42
1_conv1_pad,128_conv4_block5_2_relu,209695.73
1_conv1_pad,129_conv4_block5_3_conv,211582.89
1_conv1_pad,130_conv4_block5_3_bn,214589.01
1_conv1_pad,131_conv4_block5_add,215001.85
1_conv1_pad,132_conv4_block5_out,215414.69
1_conv1_pad,133_conv4_block6_1_conv,217451.49
1_conv1_pad,134_conv4_block6_1_bn,217637.7
1_conv1_pad,135_conv4_block6_1_relu,218050.53
1_conv1_pad,136_conv4_block6_2_conv,224385.16
1_conv1_pad,137_conv4_block6_2_bn,224572.21
1_conv1_pad,138_conv4_block6_2_relu,224675.96
1_conv1_pad,139_conv4_block6_3_conv,226558.31
1_conv1_pad,140_conv4_block6_3_bn,227306.04
1_conv1_pad,141_conv4_block6_add,227718.88
1_conv1_pad,142_conv4_block6_out,228131.9
1_conv1_pad,143_conv5_block1_1_conv,229733.93
