Start_Layer,End_Layer,latency_ms
22_conv2_block2_2_conv,122_conv4_block4_out,161798.63
22_conv2_block2_2_conv,123_conv4_block5_1_conv,164211.65
22_conv2_block2_2_conv,124_conv4_block5_1_bn,166971.94
22_conv2_block2_2_conv,125_conv4_block5_1_relu,167075.98
22_conv2_block2_2_conv,126_conv4_block5_2_conv,173410.16
22_conv2_block2_2_conv,127_conv4_block5_2_bn,174902.93
22_conv2_block2_2_conv,128_conv4_block5_2_relu,177324.24
22_conv2_block2_2_conv,129_conv4_block5_3_conv,179211.4
22_conv2_block2_2_conv,130_conv4_block5_3_bn,182217.52
22_conv2_block2_2_conv,131_conv4_block5_add,182630.36
22_conv2_block2_2_conv,132_conv4_block5_out,183043.2
22_conv2_block2_2_conv,133_conv4_block6_1_conv,185080
22_conv2_block2_2_conv,134_conv4_block6_1_bn,185266.21
22_conv2_block2_2_conv,135_conv4_block6_1_relu,185679.04
22_conv2_block2_2_conv,136_conv4_block6_2_conv,192013.67
22_conv2_block2_2_conv,137_conv4_block6_2_bn,192200.72
22_conv2_block2_2_conv,138_conv4_block6_2_relu,192304.47
22_conv2_block2_2_conv,139_conv4_block6_3_conv,194186.82
22_conv2_block2_2_conv,140_conv4_block6_3_bn,194934.55
22_conv2_block2_2_conv,141_conv4_block6_add,195347.39
22_conv2_block2_2_conv,142_conv4_block6_out,195760.41
22_conv2_block2_2_conv,143_conv5_block1_1_conv,197362.44
22_conv2_block2_2_conv,144_conv5_block1_1_bn,197455.43
22_conv2_block2_2_conv,145_conv5_block1_1_relu,197507.19
22_conv2_block2_2_conv,146_conv5_block1_2_conv,200267.46
22_conv2_block2_2_conv,147_conv5_block1_2_bn,200360.72
22_conv2_block2_2_conv,148_conv5_block1_2_relu,200412.6
22_conv2_block2_2_conv,149_conv5_block1_0_conv,201602.52
22_conv2_block2_2_conv,150_conv5_block1_3_conv,202014.38
22_conv2_block2_2_conv,151_conv5_block1_0_bn,201975.78
22_conv2_block2_2_conv,152_conv5_block1_3_bn,202389.91
23_conv2_block2_2_bn,24_conv2_block2_2_relu,2988
23_conv2_block2_2_bn,25_conv2_block2_3_conv,6009.49
23_conv2_block2_2_bn,26_conv2_block2_3_bn,8987.9
23_conv2_block2_2_bn,27_conv2_block2_add,9400.74
23_conv2_block2_2_bn,28_conv2_block2_out,11051.49
23_conv2_block2_2_bn,29_conv2_block3_1_conv,11155.21
23_conv2_block2_2_bn,30_conv2_block3_1_bn,11206.95
23_conv2_block2_2_bn,31_conv2_block3_1_relu,11620.78
23_conv2_block2_2_bn,32_conv2_block3_2_conv,11807.2
23_conv2_block2_2_bn,33_conv2_block3_2_bn,14567.47
23_conv2_block2_2_bn,34_conv2_block3_2_relu,14981.35
23_conv2_block2_2_bn,35_conv2_block3_3_conv,17973.54
23_conv2_block2_2_bn,36_conv2_block3_3_bn,20936.69
23_conv2_block2_2_bn,37_conv2_block3_add,21349.54
23_conv2_block2_2_bn,38_conv2_block3_out,24109.8
23_conv2_block2_2_bn,39_conv3_block1_1_conv,26076.68
23_conv2_block2_2_bn,40_conv3_block1_1_bn,26263.28
23_conv2_block2_2_bn,41_conv3_block1_1_relu,27749.32
23_conv2_block2_2_bn,42_conv3_block1_2_conv,34180.15
23_conv2_block2_2_bn,43_conv3_block1_2_bn,36940.42
23_conv2_block2_2_bn,44_conv3_block1_2_relu,37147.92
23_conv2_block2_2_bn,45_conv3_block1_0_conv,26870.07
23_conv2_block2_2_bn,46_conv3_block1_3_conv,39565.57
23_conv2_block2_2_bn,47_conv3_block1_0_bn,28363.33
23_conv2_block2_2_bn,48_conv3_block1_3_bn,45899.98
23_conv2_block2_2_bn,49_conv3_block1_add,46312.82
23_conv2_block2_2_bn,50_conv3_block1_out,47137.34
23_conv2_block2_2_bn,51_conv3_block2_1_conv,49412.67
23_conv2_block2_2_bn,52_conv3_block2_1_bn,49785.82
23_conv2_block2_2_bn,53_conv3_block2_1_relu,55790.8
23_conv2_block2_2_bn,54_conv3_block2_2_conv,62219.02
23_conv2_block2_2_bn,55_conv3_block2_2_bn,62592.61
23_conv2_block2_2_bn,56_conv3_block2_2_relu,62799.92
23_conv2_block2_2_bn,57_conv3_block2_3_conv,65221.23
23_conv2_block2_2_bn,58_conv3_block2_3_bn,66710.75
23_conv2_block2_2_bn,59_conv3_block2_add,67123.59
23_conv2_block2_2_bn,60_conv3_block2_out,67227.43
23_conv2_block2_2_bn,61_conv3_block3_1_conv,69114.59
23_conv2_block2_2_bn,62_conv3_block3_1_bn,69486.86
23_conv2_block2_2_bn,63_conv3_block3_1_relu,69694.57
23_conv2_block2_2_bn,64_conv3_block3_2_conv,76122.26
23_conv2_block2_2_bn,65_conv3_block3_2_bn,76495.38
23_conv2_block2_2_bn,66_conv3_block3_2_relu,79487.58
23_conv2_block2_2_bn,67_conv3_block3_3_conv,85917.8
23_conv2_block2_2_bn,68_conv3_block3_3_bn,86125.42
23_conv2_block2_2_bn,69_conv3_block3_add,86538.26
23_conv2_block2_2_bn,70_conv3_block3_out,87362.57
23_conv2_block2_2_bn,71_conv3_block4_1_conv,89634.41
23_conv2_block2_2_bn,72_conv3_block4_1_bn,90007.15
23_conv2_block2_2_bn,73_conv3_block4_1_relu,90214.22
23_conv2_block2_2_bn,74_conv3_block4_2_conv,96643.93
23_conv2_block2_2_bn,75_conv3_block4_2_bn,97017.94
23_conv2_block2_2_bn,76_conv3_block4_2_relu,97225.06
23_conv2_block2_2_bn,77_conv3_block4_3_conv,99421.73
23_conv2_block2_2_bn,78_conv3_block4_3_bn,99835.4
23_conv2_block2_2_bn,79_conv3_block4_add,100248.24
23_conv2_block2_2_bn,80_conv3_block4_out,101074.5
23_conv2_block2_2_bn,81_conv4_block1_1_conv,102857.17
23_conv2_block2_2_bn,82_conv4_block1_1_bn,103043.83
23_conv2_block2_2_bn,83_conv4_block1_1_relu,103147.73
23_conv2_block2_2_bn,84_conv4_block1_2_conv,109482.14
23_conv2_block2_2_bn,85_conv4_block1_2_bn,109668.72
23_conv2_block2_2_bn,86_conv4_block1_2_relu,109772.54
23_conv2_block2_2_bn,87_conv4_block1_0_conv,107080.13
23_conv2_block2_2_bn,88_conv4_block1_3_conv,111418.07
23_conv2_block2_2_bn,89_conv4_block1_0_bn,107287.33
23_conv2_block2_2_bn,90_conv4_block1_3_bn,112164.91
23_conv2_block2_2_bn,91_conv4_block1_add,112577.75
23_conv2_block2_2_bn,92_conv4_block1_out,112990.92
23_conv2_block2_2_bn,93_conv4_block2_1_conv,115027.72
23_conv2_block2_2_bn,94_conv4_block2_1_bn,117990.87
23_conv2_block2_2_bn,95_conv4_block2_1_relu,118177.45
23_conv2_block2_2_bn,96_conv4_block2_2_conv,124512.2
23_conv2_block2_2_bn,97_conv4_block2_2_bn,124698.87
23_conv2_block2_2_bn,98_conv4_block2_2_relu,124802.76
23_conv2_block2_2_bn,99_conv4_block2_3_conv,126697.2
23_conv2_block2_2_bn,100_conv4_block2_3_bn,127444.33
23_conv2_block2_2_bn,101_conv4_block2_add,127857.17
23_conv2_block2_2_bn,102_conv4_block2_out,128230.76
23_conv2_block2_2_bn,103_conv4_block3_1_conv,130986.77
23_conv2_block2_2_bn,104_conv4_block3_1_bn,131173.22
23_conv2_block2_2_bn,105_conv4_block3_1_relu,131277.06
23_conv2_block2_2_bn,106_conv4_block3_2_conv,133165.83
23_conv2_block2_2_bn,107_conv4_block3_2_bn,133352.69
23_conv2_block2_2_bn,108_conv4_block3_2_relu,135624.55
23_conv2_block2_2_bn,109_conv4_block3_3_conv,135831.57
23_conv2_block2_2_bn,110_conv4_block3_3_bn,136578.59
23_conv2_block2_2_bn,111_conv4_block3_add,136991.43
23_conv2_block2_2_bn,112_conv4_block3_out,137406.07
23_conv2_block2_2_bn,113_conv4_block4_1_conv,143739.7
23_conv2_block2_2_bn,114_conv4_block4_1_bn,143926.17
23_conv2_block2_2_bn,115_conv4_block4_1_relu,144029.95
23_conv2_block2_2_bn,116_conv4_block4_2_conv,150364.98
23_conv2_block2_2_bn,117_conv4_block4_2_bn,153125.25
23_conv2_block2_2_bn,118_conv4_block4_2_relu,155885.52
23_conv2_block2_2_bn,119_conv4_block4_3_conv,157774.29
23_conv2_block2_2_bn,120_conv4_block4_3_bn,158521.67
23_conv2_block2_2_bn,121_conv4_block4_add,158934.51
23_conv2_block2_2_bn,122_conv4_block4_out,159038.34
23_conv2_block2_2_bn,123_conv4_block5_1_conv,161451.36
23_conv2_block2_2_bn,124_conv4_block5_1_bn,164211.65
23_conv2_block2_2_bn,125_conv4_block5_1_relu,164315.69
23_conv2_block2_2_bn,126_conv4_block5_2_conv,170649.87
23_conv2_block2_2_bn,127_conv4_block5_2_bn,172142.64
23_conv2_block2_2_bn,128_conv4_block5_2_relu,174563.95
23_conv2_block2_2_bn,129_conv4_block5_3_conv,176451.11
23_conv2_block2_2_bn,130_conv4_block5_3_bn,179457.23
23_conv2_block2_2_bn,131_conv4_block5_add,179870.07
23_conv2_block2_2_bn,132_conv4_block5_out,180282.91
23_conv2_block2_2_bn,133_conv4_block6_1_conv,182319.71
23_conv2_block2_2_bn,134_conv4_block6_1_bn,182505.92
23_conv2_block2_2_bn,135_conv4_block6_1_relu,182918.75
23_conv2_block2_2_bn,136_conv4_block6_2_conv,189253.38
23_conv2_block2_2_bn,137_conv4_block6_2_bn,189440.43
23_conv2_block2_2_bn,138_conv4_block6_2_relu,189544.18
23_conv2_block2_2_bn,139_conv4_block6_3_conv,191426.53
23_conv2_block2_2_bn,140_conv4_block6_3_bn,192174.26
23_conv2_block2_2_bn,141_conv4_block6_add,192587.1
23_conv2_block2_2_bn,142_conv4_block6_out,193000.12
23_conv2_block2_2_bn,143_conv5_block1_1_conv,194602.15
23_conv2_block2_2_bn,144_conv5_block1_1_bn,194695.14
23_conv2_block2_2_bn,145_conv5_block1_1_relu,194746.9
23_conv2_block2_2_bn,146_conv5_block1_2_conv,197507.17
23_conv2_block2_2_bn,147_conv5_block1_2_bn,197600.43
23_conv2_block2_2_bn,148_conv5_block1_2_relu,197652.31
23_conv2_block2_2_bn,149_conv5_block1_0_conv,198842.23
23_conv2_block2_2_bn,150_conv5_block1_3_conv,199254.09
23_conv2_block2_2_bn,151_conv5_block1_0_bn,199215.49
23_conv2_block2_2_bn,152_conv5_block1_3_bn,199629.62
24_conv2_block2_2_relu,25_conv2_block2_3_conv,3021.49
24_conv2_block2_2_relu,26_conv2_block2_3_bn,5999.9
24_conv2_block2_2_relu,27_conv2_block2_add,6412.74
24_conv2_block2_2_relu,28_conv2_block2_out,8063.49
24_conv2_block2_2_relu,29_conv2_block3_1_conv,8167.21
24_conv2_block2_2_relu,30_conv2_block3_1_bn,8218.95
24_conv2_block2_2_relu,31_conv2_block3_1_relu,8632.78
24_conv2_block2_2_relu,32_conv2_block3_2_conv,8819.2
24_conv2_block2_2_relu,33_conv2_block3_2_bn,11579.47
24_conv2_block2_2_relu,34_conv2_block3_2_relu,11993.35
24_conv2_block2_2_relu,35_conv2_block3_3_conv,14985.54
24_conv2_block2_2_relu,36_conv2_block3_3_bn,17948.69
24_conv2_block2_2_relu,37_conv2_block3_add,18361.54
24_conv2_block2_2_relu,38_conv2_block3_out,21121.8
24_conv2_block2_2_relu,39_conv3_block1_1_conv,23088.68
24_conv2_block2_2_relu,40_conv3_block1_1_bn,23275.28
24_conv2_block2_2_relu,41_conv3_block1_1_relu,24761.32
24_conv2_block2_2_relu,42_conv3_block1_2_conv,31192.15
24_conv2_block2_2_relu,43_conv3_block1_2_bn,33952.42
24_conv2_block2_2_relu,44_conv3_block1_2_relu,34159.92
24_conv2_block2_2_relu,45_conv3_block1_0_conv,23882.07
24_conv2_block2_2_relu,46_conv3_block1_3_conv,36577.57
24_conv2_block2_2_relu,47_conv3_block1_0_bn,25375.33
24_conv2_block2_2_relu,48_conv3_block1_3_bn,42911.98
24_conv2_block2_2_relu,49_conv3_block1_add,43324.82
24_conv2_block2_2_relu,50_conv3_block1_out,44149.34
24_conv2_block2_2_relu,51_conv3_block2_1_conv,46424.67
24_conv2_block2_2_relu,52_conv3_block2_1_bn,46797.82
24_conv2_block2_2_relu,53_conv3_block2_1_relu,52802.8
24_conv2_block2_2_relu,54_conv3_block2_2_conv,59231.02
24_conv2_block2_2_relu,55_conv3_block2_2_bn,59604.61
24_conv2_block2_2_relu,56_conv3_block2_2_relu,59811.92
24_conv2_block2_2_relu,57_conv3_block2_3_conv,62233.23
24_conv2_block2_2_relu,58_conv3_block2_3_bn,63722.75
24_conv2_block2_2_relu,59_conv3_block2_add,64135.59
24_conv2_block2_2_relu,60_conv3_block2_out,64239.43
24_conv2_block2_2_relu,61_conv3_block3_1_conv,66126.59
24_conv2_block2_2_relu,62_conv3_block3_1_bn,66498.86
24_conv2_block2_2_relu,63_conv3_block3_1_relu,66706.57
24_conv2_block2_2_relu,64_conv3_block3_2_conv,73134.26
24_conv2_block2_2_relu,65_conv3_block3_2_bn,73507.38
24_conv2_block2_2_relu,66_conv3_block3_2_relu,76499.58
24_conv2_block2_2_relu,67_conv3_block3_3_conv,82929.8
24_conv2_block2_2_relu,68_conv3_block3_3_bn,83137.42
24_conv2_block2_2_relu,69_conv3_block3_add,83550.26
24_conv2_block2_2_relu,70_conv3_block3_out,84374.57
24_conv2_block2_2_relu,71_conv3_block4_1_conv,86646.41
24_conv2_block2_2_relu,72_conv3_block4_1_bn,87019.15
24_conv2_block2_2_relu,73_conv3_block4_1_relu,87226.22
24_conv2_block2_2_relu,74_conv3_block4_2_conv,93655.93
24_conv2_block2_2_relu,75_conv3_block4_2_bn,94029.94
24_conv2_block2_2_relu,76_conv3_block4_2_relu,94237.06
24_conv2_block2_2_relu,77_conv3_block4_3_conv,96433.73
24_conv2_block2_2_relu,78_conv3_block4_3_bn,96847.4
24_conv2_block2_2_relu,79_conv3_block4_add,97260.24
24_conv2_block2_2_relu,80_conv3_block4_out,98086.5
24_conv2_block2_2_relu,81_conv4_block1_1_conv,99869.17
24_conv2_block2_2_relu,82_conv4_block1_1_bn,100055.83
24_conv2_block2_2_relu,83_conv4_block1_1_relu,100159.73
24_conv2_block2_2_relu,84_conv4_block1_2_conv,106494.14
24_conv2_block2_2_relu,85_conv4_block1_2_bn,106680.72
24_conv2_block2_2_relu,86_conv4_block1_2_relu,106784.54
24_conv2_block2_2_relu,87_conv4_block1_0_conv,104092.13
24_conv2_block2_2_relu,88_conv4_block1_3_conv,108430.07
24_conv2_block2_2_relu,89_conv4_block1_0_bn,104299.33
24_conv2_block2_2_relu,90_conv4_block1_3_bn,109176.91
24_conv2_block2_2_relu,91_conv4_block1_add,109589.75
24_conv2_block2_2_relu,92_conv4_block1_out,110002.92
24_conv2_block2_2_relu,93_conv4_block2_1_conv,112039.72
24_conv2_block2_2_relu,94_conv4_block2_1_bn,115002.87
24_conv2_block2_2_relu,95_conv4_block2_1_relu,115189.45
24_conv2_block2_2_relu,96_conv4_block2_2_conv,121524.2
24_conv2_block2_2_relu,97_conv4_block2_2_bn,121710.87
24_conv2_block2_2_relu,98_conv4_block2_2_relu,121814.76
24_conv2_block2_2_relu,99_conv4_block2_3_conv,123709.2
24_conv2_block2_2_relu,100_conv4_block2_3_bn,124456.33
24_conv2_block2_2_relu,101_conv4_block2_add,124869.17
24_conv2_block2_2_relu,102_conv4_block2_out,125242.76
24_conv2_block2_2_relu,103_conv4_block3_1_conv,127998.77
24_conv2_block2_2_relu,104_conv4_block3_1_bn,128185.22
24_conv2_block2_2_relu,105_conv4_block3_1_relu,128289.06
24_conv2_block2_2_relu,106_conv4_block3_2_conv,130177.83
24_conv2_block2_2_relu,107_conv4_block3_2_bn,130364.69
24_conv2_block2_2_relu,108_conv4_block3_2_relu,132636.55
24_conv2_block2_2_relu,109_conv4_block3_3_conv,132843.57
24_conv2_block2_2_relu,110_conv4_block3_3_bn,133590.59
24_conv2_block2_2_relu,111_conv4_block3_add,134003.43
24_conv2_block2_2_relu,112_conv4_block3_out,134418.07
24_conv2_block2_2_relu,113_conv4_block4_1_conv,140751.7
24_conv2_block2_2_relu,114_conv4_block4_1_bn,140938.17
24_conv2_block2_2_relu,115_conv4_block4_1_relu,141041.95
24_conv2_block2_2_relu,116_conv4_block4_2_conv,147376.98
24_conv2_block2_2_relu,117_conv4_block4_2_bn,150137.25
24_conv2_block2_2_relu,118_conv4_block4_2_relu,152897.52
24_conv2_block2_2_relu,119_conv4_block4_3_conv,154786.29
24_conv2_block2_2_relu,120_conv4_block4_3_bn,155533.67
24_conv2_block2_2_relu,121_conv4_block4_add,155946.51
24_conv2_block2_2_relu,122_conv4_block4_out,156050.34
24_conv2_block2_2_relu,123_conv4_block5_1_conv,158463.36
24_conv2_block2_2_relu,124_conv4_block5_1_bn,161223.65
24_conv2_block2_2_relu,125_conv4_block5_1_relu,161327.69
24_conv2_block2_2_relu,126_conv4_block5_2_conv,167661.87
24_conv2_block2_2_relu,127_conv4_block5_2_bn,169154.64
24_conv2_block2_2_relu,128_conv4_block5_2_relu,171575.95
24_conv2_block2_2_relu,129_conv4_block5_3_conv,173463.11
24_conv2_block2_2_relu,130_conv4_block5_3_bn,176469.23
24_conv2_block2_2_relu,131_conv4_block5_add,176882.07
24_conv2_block2_2_relu,132_conv4_block5_out,177294.91
24_conv2_block2_2_relu,133_conv4_block6_1_conv,179331.71
24_conv2_block2_2_relu,134_conv4_block6_1_bn,179517.92
24_conv2_block2_2_relu,135_conv4_block6_1_relu,179930.75
24_conv2_block2_2_relu,136_conv4_block6_2_conv,186265.38
24_conv2_block2_2_relu,137_conv4_block6_2_bn,186452.43
24_conv2_block2_2_relu,138_conv4_block6_2_relu,186556.18
24_conv2_block2_2_relu,139_conv4_block6_3_conv,188438.53
24_conv2_block2_2_relu,140_conv4_block6_3_bn,189186.26
24_conv2_block2_2_relu,141_conv4_block6_add,189599.1
24_conv2_block2_2_relu,142_conv4_block6_out,190012.12
24_conv2_block2_2_relu,143_conv5_block1_1_conv,191614.15
24_conv2_block2_2_relu,144_conv5_block1_1_bn,191707.14
24_conv2_block2_2_relu,145_conv5_block1_1_relu,191758.9
24_conv2_block2_2_relu,146_conv5_block1_2_conv,194519.17
24_conv2_block2_2_relu,147_conv5_block1_2_bn,194612.43
24_conv2_block2_2_relu,148_conv5_block1_2_relu,194664.31
24_conv2_block2_2_relu,149_conv5_block1_0_conv,195854.23
24_conv2_block2_2_relu,150_conv5_block1_3_conv,196266.09
24_conv2_block2_2_relu,151_conv5_block1_0_bn,196227.49
24_conv2_block2_2_relu,152_conv5_block1_3_bn,196641.62
25_conv2_block2_3_conv,26_conv2_block2_3_bn,2978.41
25_conv2_block2_3_conv,27_conv2_block2_add,3391.25
25_conv2_block2_3_conv,28_conv2_block2_out,5042
25_conv2_block2_3_conv,29_conv2_block3_1_conv,5145.72
25_conv2_block2_3_conv,30_conv2_block3_1_bn,5197.46
25_conv2_block2_3_conv,31_conv2_block3_1_relu,5611.29
25_conv2_block2_3_conv,32_conv2_block3_2_conv,5797.71
25_conv2_block2_3_conv,33_conv2_block3_2_bn,8557.98
25_conv2_block2_3_conv,34_conv2_block3_2_relu,8971.86
25_conv2_block2_3_conv,35_conv2_block3_3_conv,11964.05
25_conv2_block2_3_conv,36_conv2_block3_3_bn,14927.2
25_conv2_block2_3_conv,37_conv2_block3_add,15340.05
25_conv2_block2_3_conv,38_conv2_block3_out,18100.31
25_conv2_block2_3_conv,39_conv3_block1_1_conv,20067.19
25_conv2_block2_3_conv,40_conv3_block1_1_bn,20253.79
25_conv2_block2_3_conv,41_conv3_block1_1_relu,21739.83
25_conv2_block2_3_conv,42_conv3_block1_2_conv,28170.66
25_conv2_block2_3_conv,43_conv3_block1_2_bn,30930.93
25_conv2_block2_3_conv,44_conv3_block1_2_relu,31138.43
25_conv2_block2_3_conv,45_conv3_block1_0_conv,20860.58
25_conv2_block2_3_conv,46_conv3_block1_3_conv,33556.08
25_conv2_block2_3_conv,47_conv3_block1_0_bn,22353.84
25_conv2_block2_3_conv,48_conv3_block1_3_bn,39890.49
25_conv2_block2_3_conv,49_conv3_block1_add,40303.33
25_conv2_block2_3_conv,50_conv3_block1_out,41127.85
25_conv2_block2_3_conv,51_conv3_block2_1_conv,43403.18
25_conv2_block2_3_conv,52_conv3_block2_1_bn,43776.33
25_conv2_block2_3_conv,53_conv3_block2_1_relu,49781.31
25_conv2_block2_3_conv,54_conv3_block2_2_conv,56209.53
25_conv2_block2_3_conv,55_conv3_block2_2_bn,56583.12
25_conv2_block2_3_conv,56_conv3_block2_2_relu,56790.43
25_conv2_block2_3_conv,57_conv3_block2_3_conv,59211.74
25_conv2_block2_3_conv,58_conv3_block2_3_bn,60701.26
25_conv2_block2_3_conv,59_conv3_block2_add,61114.1
25_conv2_block2_3_conv,60_conv3_block2_out,61217.94
25_conv2_block2_3_conv,61_conv3_block3_1_conv,63105.1
25_conv2_block2_3_conv,62_conv3_block3_1_bn,63477.37
25_conv2_block2_3_conv,63_conv3_block3_1_relu,63685.08
25_conv2_block2_3_conv,64_conv3_block3_2_conv,70112.77
25_conv2_block2_3_conv,65_conv3_block3_2_bn,70485.89
25_conv2_block2_3_conv,66_conv3_block3_2_relu,73478.09
25_conv2_block2_3_conv,67_conv3_block3_3_conv,79908.31
25_conv2_block2_3_conv,68_conv3_block3_3_bn,80115.93
25_conv2_block2_3_conv,69_conv3_block3_add,80528.77
25_conv2_block2_3_conv,70_conv3_block3_out,81353.08
25_conv2_block2_3_conv,71_conv3_block4_1_conv,83624.92
25_conv2_block2_3_conv,72_conv3_block4_1_bn,83997.66
25_conv2_block2_3_conv,73_conv3_block4_1_relu,84204.73
25_conv2_block2_3_conv,74_conv3_block4_2_conv,90634.44
25_conv2_block2_3_conv,75_conv3_block4_2_bn,91008.45
25_conv2_block2_3_conv,76_conv3_block4_2_relu,91215.57
25_conv2_block2_3_conv,77_conv3_block4_3_conv,93412.24
25_conv2_block2_3_conv,78_conv3_block4_3_bn,93825.91
25_conv2_block2_3_conv,79_conv3_block4_add,94238.75
25_conv2_block2_3_conv,80_conv3_block4_out,95065.01
25_conv2_block2_3_conv,81_conv4_block1_1_conv,96847.68
25_conv2_block2_3_conv,82_conv4_block1_1_bn,97034.34
25_conv2_block2_3_conv,83_conv4_block1_1_relu,97138.24
25_conv2_block2_3_conv,84_conv4_block1_2_conv,103472.65
25_conv2_block2_3_conv,85_conv4_block1_2_bn,103659.23
25_conv2_block2_3_conv,86_conv4_block1_2_relu,103763.05
25_conv2_block2_3_conv,87_conv4_block1_0_conv,101070.64
25_conv2_block2_3_conv,88_conv4_block1_3_conv,105408.58
25_conv2_block2_3_conv,89_conv4_block1_0_bn,101277.84
25_conv2_block2_3_conv,90_conv4_block1_3_bn,106155.42
25_conv2_block2_3_conv,91_conv4_block1_add,106568.26
25_conv2_block2_3_conv,92_conv4_block1_out,106981.43
25_conv2_block2_3_conv,93_conv4_block2_1_conv,109018.23
25_conv2_block2_3_conv,94_conv4_block2_1_bn,111981.38
25_conv2_block2_3_conv,95_conv4_block2_1_relu,112167.96
25_conv2_block2_3_conv,96_conv4_block2_2_conv,118502.71
25_conv2_block2_3_conv,97_conv4_block2_2_bn,118689.38
25_conv2_block2_3_conv,98_conv4_block2_2_relu,118793.27
25_conv2_block2_3_conv,99_conv4_block2_3_conv,120687.71
25_conv2_block2_3_conv,100_conv4_block2_3_bn,121434.84
25_conv2_block2_3_conv,101_conv4_block2_add,121847.68
25_conv2_block2_3_conv,102_conv4_block2_out,122221.27
25_conv2_block2_3_conv,103_conv4_block3_1_conv,124977.28
25_conv2_block2_3_conv,104_conv4_block3_1_bn,125163.73
25_conv2_block2_3_conv,105_conv4_block3_1_relu,125267.57
25_conv2_block2_3_conv,106_conv4_block3_2_conv,127156.34
25_conv2_block2_3_conv,107_conv4_block3_2_bn,127343.2
25_conv2_block2_3_conv,108_conv4_block3_2_relu,129615.06
25_conv2_block2_3_conv,109_conv4_block3_3_conv,129822.08
25_conv2_block2_3_conv,110_conv4_block3_3_bn,130569.1
25_conv2_block2_3_conv,111_conv4_block3_add,130981.94
25_conv2_block2_3_conv,112_conv4_block3_out,131396.58
25_conv2_block2_3_conv,113_conv4_block4_1_conv,137730.21
25_conv2_block2_3_conv,114_conv4_block4_1_bn,137916.68
25_conv2_block2_3_conv,115_conv4_block4_1_relu,138020.46
25_conv2_block2_3_conv,116_conv4_block4_2_conv,144355.49
25_conv2_block2_3_conv,117_conv4_block4_2_bn,147115.76
25_conv2_block2_3_conv,118_conv4_block4_2_relu,149876.03
25_conv2_block2_3_conv,119_conv4_block4_3_conv,151764.8
25_conv2_block2_3_conv,120_conv4_block4_3_bn,152512.18
25_conv2_block2_3_conv,121_conv4_block4_add,152925.02
25_conv2_block2_3_conv,122_conv4_block4_out,153028.85
25_conv2_block2_3_conv,123_conv4_block5_1_conv,155441.87
25_conv2_block2_3_conv,124_conv4_block5_1_bn,158202.16
25_conv2_block2_3_conv,125_conv4_block5_1_relu,158306.2
25_conv2_block2_3_conv,126_conv4_block5_2_conv,164640.38
25_conv2_block2_3_conv,127_conv4_block5_2_bn,166133.15
25_conv2_block2_3_conv,128_conv4_block5_2_relu,168554.46
25_conv2_block2_3_conv,129_conv4_block5_3_conv,170441.62
25_conv2_block2_3_conv,130_conv4_block5_3_bn,173447.74
25_conv2_block2_3_conv,131_conv4_block5_add,173860.58
25_conv2_block2_3_conv,132_conv4_block5_out,174273.42
25_conv2_block2_3_conv,133_conv4_block6_1_conv,176310.22
25_conv2_block2_3_conv,134_conv4_block6_1_bn,176496.43
25_conv2_block2_3_conv,135_conv4_block6_1_relu,176909.26
25_conv2_block2_3_conv,136_conv4_block6_2_conv,183243.89
25_conv2_block2_3_conv,137_conv4_block6_2_bn,183430.94
25_conv2_block2_3_conv,138_conv4_block6_2_relu,183534.69
25_conv2_block2_3_conv,139_conv4_block6_3_conv,185417.04
25_conv2_block2_3_conv,140_conv4_block6_3_bn,186164.77
25_conv2_block2_3_conv,141_conv4_block6_add,186577.61
25_conv2_block2_3_conv,142_conv4_block6_out,186990.63
25_conv2_block2_3_conv,143_conv5_block1_1_conv,188592.66
25_conv2_block2_3_conv,144_conv5_block1_1_bn,188685.65
25_conv2_block2_3_conv,145_conv5_block1_1_relu,188737.41
25_conv2_block2_3_conv,146_conv5_block1_2_conv,191497.68
25_conv2_block2_3_conv,147_conv5_block1_2_bn,191590.94
25_conv2_block2_3_conv,148_conv5_block1_2_relu,191642.82
25_conv2_block2_3_conv,149_conv5_block1_0_conv,192832.74
25_conv2_block2_3_conv,150_conv5_block1_3_conv,193244.6
25_conv2_block2_3_conv,151_conv5_block1_0_bn,193206
25_conv2_block2_3_conv,152_conv5_block1_3_bn,193620.13
26_conv2_block2_3_bn,27_conv2_block2_add,412.84
26_conv2_block2_3_bn,28_conv2_block2_out,2063.59
26_conv2_block2_3_bn,29_conv2_block3_1_conv,2167.31
26_conv2_block2_3_bn,30_conv2_block3_1_bn,2219.05
26_conv2_block2_3_bn,31_conv2_block3_1_relu,2632.88
26_conv2_block2_3_bn,32_conv2_block3_2_conv,2819.3
26_conv2_block2_3_bn,33_conv2_block3_2_bn,5579.57
26_conv2_block2_3_bn,34_conv2_block3_2_relu,5993.45
26_conv2_block2_3_bn,35_conv2_block3_3_conv,8985.64
26_conv2_block2_3_bn,36_conv2_block3_3_bn,11948.79
26_conv2_block2_3_bn,37_conv2_block3_add,12361.64
26_conv2_block2_3_bn,38_conv2_block3_out,15121.9
26_conv2_block2_3_bn,39_conv3_block1_1_conv,17088.78
26_conv2_block2_3_bn,40_conv3_block1_1_bn,17275.38
26_conv2_block2_3_bn,41_conv3_block1_1_relu,18761.42
26_conv2_block2_3_bn,42_conv3_block1_2_conv,25192.25
